student_id,topic,quiz_score,attempts,time_spent_minutes,last_asked_intent
6,Gradient Descent,83.46,1,12,Revision
6,Linear Regression,69.84,1,49,Explanation
6,CNNs,90.52,1,45,Explanation
6,CNNs,68.2,1,38,Example
6,CNNs,67.52,1,36,Example
6,Linear Regression,55.98,3,25,Doubt clarification
6,CNNs,58.51,4,48,Doubt clarification
6,CNNs,49.91,4,12,Explanation
7,Linear Regression,62.57,1,59,Explanation
7,Neural Networks,71.33,1,14,Explanation
7,CNNs,86.28,1,42,Explanation
7,Gradient Descent,56.04,3,8,Explanation
7,Linear Regression,64.78,1,23,Example
7,Optimization Algorithms,87.05,1,47,Doubt clarification
7,Linear Regression,75.28,1,22,Example
7,Neural Networks,100.0,1,31,Example
7,Backpropagation,72.08,1,53,Revision
7,RNNs,57.82,2,37,Explanation
7,RNNs,72.77,1,33,Explanation
7,Backpropagation,79.39,1,53,Doubt clarification
7,CNNs,66.46,1,52,Example
7,Linear Regression,80.49,1,42,Example
7,CNNs,39.45,1,9,Doubt clarification
7,CNNs,75.3,1,30,Revision
7,Neural Networks,59.95,3,55,Doubt clarification
7,Backpropagation,52.55,3,29,Revision
8,Neural Networks,81.33,1,31,Example
8,Backpropagation,57.67,2,52,Doubt clarification
8,Optimization Algorithms,68.07,1,12,Revision
8,CNNs,79.58,1,6,Doubt clarification
8,Linear Regression,67.68,1,53,Example
9,Gradient Descent,91.07,1,53,Revision
9,Linear Regression,76.57,1,26,Explanation
9,CNNs,100.0,1,7,Doubt clarification
9,RNNs,84.63,1,58,Explanation
9,Neural Networks,52.95,3,24,Example
9,Linear Regression,100.0,1,7,Explanation
9,Linear Regression,69.63,1,9,Explanation
9,Optimization Algorithms,72.85,1,50,Explanation
9,CNNs,45.65,4,14,Doubt clarification
9,RNNs,82.84,1,54,Revision
9,Gradient Descent,62.15,1,24,Example
9,Neural Networks,54.48,4,40,Revision
9,Gradient Descent,53.08,2,34,Doubt clarification
9,Neural Networks,66.44,1,51,Revision
9,Linear Regression,54.66,1,14,Explanation
9,Optimization Algorithms,66.21,1,49,Example
9,Neural Networks,65.55,1,41,Example
9,CNNs,46.88,1,36,Doubt clarification
10,Optimization Algorithms,78.46,1,54,Revision
10,Neural Networks,52.02,3,17,Example
10,Gradient Descent,56.08,1,44,Doubt clarification
10,CNNs,86.29,1,32,Revision
10,CNNs,62.65,1,16,Revision
10,Linear Regression,70.5,1,46,Explanation
11,Linear Regression,71.08,1,54,Example
11,Backpropagation,76.27,1,53,Doubt clarification
11,Backpropagation,73.19,1,10,Explanation
11,Linear Regression,88.66,1,34,Revision
11,Neural Networks,85.08,1,35,Explanation
11,CNNs,79.82,1,54,Example
11,Neural Networks,77.15,1,22,Doubt clarification
11,RNNs,72.12,1,20,Revision
11,Neural Networks,70.7,1,31,Revision
12,RNNs,64.33,1,16,Doubt clarification
12,Gradient Descent,69.91,1,24,Revision
12,Optimization Algorithms,55.5,3,58,Doubt clarification
12,Gradient Descent,50.3,3,36,Revision
12,Backpropagation,69.34,1,54,Revision
12,RNNs,75.5,1,49,Example
12,CNNs,59.9,3,8,Revision
12,Neural Networks,87.7,1,30,Explanation
12,Gradient Descent,66.95,1,20,Explanation
12,RNNs,84.61,1,8,Revision
12,RNNs,87.1,1,10,Explanation
12,CNNs,70.31,1,24,Doubt clarification
12,CNNs,61.18,1,43,Explanation
12,Gradient Descent,68.89,1,27,Explanation
12,Backpropagation,75.59,1,40,Revision
12,Linear Regression,64.16,1,5,Explanation
13,CNNs,56.31,4,49,Doubt clarification
13,Linear Regression,70.71,1,60,Example
13,CNNs,66.62,1,59,Revision
13,CNNs,79.74,1,12,Example
13,Linear Regression,73.65,1,12,Explanation
13,Gradient Descent,54.93,3,38,Example
13,Linear Regression,59.43,4,19,Explanation
13,Optimization Algorithms,55.35,4,37,Revision
13,CNNs,71.25,1,35,Doubt clarification
13,Linear Regression,63.1,1,31,Doubt clarification
13,Gradient Descent,69.97,1,40,Explanation
13,Optimization Algorithms,69.71,1,60,Example
14,Backpropagation,89.86,1,47,Example
14,Backpropagation,63.59,1,22,Explanation
14,Optimization Algorithms,74.56,1,35,Revision
14,Neural Networks,79.22,1,45,Revision
14,Backpropagation,77.49,1,55,Explanation
14,Gradient Descent,91.23,1,28,Explanation
14,Neural Networks,76.51,1,45,Revision
14,RNNs,89.28,1,48,Doubt clarification
15,CNNs,64.07,1,25,Doubt clarification
15,RNNs,77.53,1,22,Example
15,Linear Regression,72.76,1,53,Explanation
15,CNNs,95.82,1,44,Example
15,CNNs,64.89,1,17,Explanation
15,Linear Regression,88.88,1,7,Doubt clarification
15,Neural Networks,74.54,1,51,Revision
15,Gradient Descent,64.78,1,24,Example
15,Backpropagation,65.5,1,10,Explanation
15,Optimization Algorithms,74.3,1,37,Revision
15,Gradient Descent,43.9,3,30,Example
15,Optimization Algorithms,54.52,1,47,Example
15,RNNs,66.94,1,22,Explanation
15,RNNs,43.0,3,58,Explanation
15,CNNs,48.14,2,17,Revision
15,Linear Regression,79.02,1,19,Revision
15,Neural Networks,81.81,1,50,Revision
16,Gradient Descent,66.18,1,34,Revision
16,Optimization Algorithms,83.01,1,35,Example
16,Optimization Algorithms,78.97,1,34,Explanation
16,Linear Regression,58.58,2,21,Explanation
16,Backpropagation,54.04,3,12,Revision
16,Optimization Algorithms,51.66,4,53,Example
16,Optimization Algorithms,53.59,4,28,Explanation
16,Neural Networks,97.58,1,22,Example
16,RNNs,90.07,1,13,Explanation
16,Backpropagation,55.09,2,12,Explanation
16,RNNs,87.6,1,44,Explanation
17,Gradient Descent,80.89,1,43,Explanation
17,Linear Regression,48.98,1,39,Example
17,Linear Regression,95.04,1,56,Explanation
17,Gradient Descent,80.67,1,45,Doubt clarification
17,Linear Regression,83.61,1,39,Doubt clarification
17,RNNs,73.35,1,37,Doubt clarification
17,Neural Networks,81.5,1,57,Revision
17,RNNs,71.22,1,38,Explanation
18,Optimization Algorithms,81.1,1,24,Example
18,RNNs,62.79,1,42,Doubt clarification
18,CNNs,73.38,1,5,Revision
18,Backpropagation,67.21,1,58,Revision
18,Gradient Descent,77.05,1,35,Revision
18,Linear Regression,76.03,1,40,Explanation
18,RNNs,88.63,1,22,Example
18,Optimization Algorithms,50.64,1,40,Example
19,Neural Networks,57.54,1,58,Example
19,Linear Regression,71.36,1,16,Doubt clarification
19,Backpropagation,59.59,3,46,Explanation
19,Optimization Algorithms,53.36,4,22,Example
19,Backpropagation,79.82,1,47,Example
19,CNNs,70.77,1,40,Doubt clarification
19,Backpropagation,63.4,1,5,Revision
19,Gradient Descent,74.06,1,60,Doubt clarification
19,CNNs,79.99,1,11,Doubt clarification
19,Neural Networks,71.02,1,9,Example
19,Gradient Descent,76.43,1,22,Example
20,RNNs,64.61,1,49,Example
20,Optimization Algorithms,73.33,1,19,Explanation
20,CNNs,72.12,1,43,Revision
20,RNNs,84.42,1,35,Doubt clarification
20,Optimization Algorithms,71.23,1,58,Revision
20,Gradient Descent,61.78,1,49,Explanation
20,Linear Regression,72.33,1,52,Revision
20,CNNs,72.31,1,40,Doubt clarification
20,CNNs,74.92,1,44,Doubt clarification
20,RNNs,60.29,1,16,Explanation
20,Optimization Algorithms,78.81,1,5,Example
20,RNNs,77.23,1,23,Example
20,RNNs,64.7,1,16,Revision
20,Optimization Algorithms,67.32,1,33,Explanation
21,Gradient Descent,44.74,1,47,Explanation
21,Gradient Descent,75.34,1,56,Example
21,RNNs,60.07,1,26,Doubt clarification
21,Backpropagation,29.0,4,18,Example
21,CNNs,76.69,1,44,Doubt clarification
21,Neural Networks,69.08,1,33,Revision
21,Backpropagation,75.16,1,40,Doubt clarification
22,Linear Regression,63.87,1,23,Revision
22,Gradient Descent,75.85,1,48,Revision
22,CNNs,83.47,1,14,Doubt clarification
22,Neural Networks,89.24,1,18,Example
22,Backpropagation,51.55,1,47,Revision
22,Optimization Algorithms,70.04,1,16,Explanation
22,RNNs,74.2,1,47,Explanation
22,Backpropagation,91.64,1,39,Explanation
22,Gradient Descent,100.0,1,24,Explanation
22,Optimization Algorithms,74.14,1,51,Revision
22,Backpropagation,71.13,1,8,Explanation
22,Gradient Descent,82.54,1,22,Doubt clarification
22,RNNs,89.04,1,52,Doubt clarification
22,Neural Networks,76.68,1,58,Doubt clarification
23,Gradient Descent,80.92,1,58,Doubt clarification
23,RNNs,57.09,2,55,Revision
23,Optimization Algorithms,59.72,4,53,Revision
23,Neural Networks,71.66,1,27,Doubt clarification
23,RNNs,58.43,3,48,Revision
23,Linear Regression,58.77,1,33,Example
23,Neural Networks,81.44,1,46,Doubt clarification
23,Optimization Algorithms,59.07,3,17,Explanation
23,CNNs,55.01,2,42,Revision
23,CNNs,47.97,2,11,Example
23,Backpropagation,67.81,1,36,Explanation
24,Backpropagation,99.33,1,45,Explanation
24,Gradient Descent,57.24,1,31,Explanation
24,Gradient Descent,91.13,1,44,Doubt clarification
24,Neural Networks,66.38,1,53,Revision
24,Neural Networks,70.38,1,45,Doubt clarification
24,Neural Networks,59.23,2,7,Explanation
24,Optimization Algorithms,53.61,4,50,Revision
24,RNNs,56.07,3,5,Example
25,Gradient Descent,79.05,1,22,Example
25,Linear Regression,67.79,1,17,Example
25,Gradient Descent,65.24,1,26,Revision
25,Neural Networks,45.38,1,26,Doubt clarification
25,Neural Networks,84.49,1,31,Doubt clarification
25,Optimization Algorithms,57.43,1,18,Example
25,Neural Networks,67.64,1,57,Explanation
25,RNNs,81.54,1,45,Example
25,RNNs,65.6,1,57,Explanation
25,CNNs,66.62,1,18,Explanation
25,Gradient Descent,69.25,1,22,Example
25,Linear Regression,79.73,1,55,Doubt clarification
25,Gradient Descent,68.53,1,9,Example
25,Backpropagation,61.91,1,26,Explanation
25,Optimization Algorithms,68.42,1,34,Explanation
25,Backpropagation,69.26,1,40,Doubt clarification
25,RNNs,77.87,1,54,Revision
25,Gradient Descent,69.98,1,35,Example
25,RNNs,64.62,1,14,Explanation
25,Optimization Algorithms,71.69,1,55,Doubt clarification
26,Backpropagation,63.93,1,5,Doubt clarification
26,CNNs,67.21,1,54,Revision
26,Optimization Algorithms,71.36,1,19,Example
26,Linear Regression,39.24,1,55,Explanation
26,Neural Networks,48.76,4,26,Example
26,Optimization Algorithms,82.34,1,46,Explanation
26,Gradient Descent,65.28,1,13,Example
26,CNNs,72.77,1,30,Revision
26,Linear Regression,63.01,1,14,Example
26,RNNs,65.62,1,19,Example
27,CNNs,100.0,1,41,Explanation
27,Backpropagation,58.36,2,9,Revision
27,Linear Regression,48.6,4,14,Explanation
27,Linear Regression,59.05,1,17,Explanation
27,Optimization Algorithms,60.48,1,14,Revision
27,CNNs,74.5,1,24,Doubt clarification
27,Backpropagation,78.95,1,38,Revision
28,Neural Networks,59.97,4,46,Example
28,Linear Regression,65.47,1,37,Doubt clarification
28,Optimization Algorithms,78.01,1,56,Doubt clarification
28,CNNs,79.52,1,60,Example
28,Optimization Algorithms,93.73,1,37,Explanation
28,Neural Networks,63.63,1,32,Example
28,Backpropagation,79.57,1,22,Revision
28,RNNs,67.22,1,30,Explanation
28,Neural Networks,71.83,1,18,Explanation
28,Backpropagation,46.79,1,5,Doubt clarification
29,CNNs,75.83,1,7,Example
29,Optimization Algorithms,42.03,2,27,Doubt clarification
29,Optimization Algorithms,84.25,1,29,Revision
29,Gradient Descent,63.06,1,39,Example
29,Gradient Descent,58.49,3,60,Revision
29,RNNs,71.31,1,13,Example
30,CNNs,65.3,1,23,Explanation
30,Neural Networks,75.18,1,37,Explanation
30,Backpropagation,52.57,2,28,Explanation
30,Linear Regression,86.06,1,6,Doubt clarification
30,Backpropagation,34.54,4,44,Explanation
30,Gradient Descent,81.42,1,10,Explanation
30,CNNs,85.15,1,43,Doubt clarification
30,CNNs,68.91,1,18,Revision
30,Backpropagation,77.82,1,13,Example
30,Linear Regression,70.25,1,5,Doubt clarification
30,Backpropagation,93.45,1,42,Example
31,RNNs,72.36,1,22,Doubt clarification
31,Optimization Algorithms,58.49,4,37,Revision
31,Neural Networks,70.36,1,9,Example
31,Gradient Descent,61.72,1,35,Example
31,Gradient Descent,68.63,1,58,Doubt clarification
31,Backpropagation,66.2,1,22,Explanation
31,RNNs,62.56,1,7,Revision
31,Linear Regression,85.66,1,42,Doubt clarification
31,Neural Networks,67.14,1,45,Revision
31,CNNs,62.83,1,24,Explanation
31,RNNs,43.3,2,7,Example
32,Backpropagation,54.25,2,40,Doubt clarification
32,Neural Networks,53.84,2,60,Revision
32,Linear Regression,81.69,1,40,Example
32,Backpropagation,65.92,1,16,Explanation
32,Backpropagation,69.93,1,55,Revision
32,RNNs,68.04,1,55,Doubt clarification
32,Backpropagation,90.43,1,22,Explanation
32,Gradient Descent,43.65,3,55,Revision
32,Neural Networks,55.87,4,57,Revision
32,Linear Regression,88.33,1,52,Example
33,Neural Networks,70.47,1,24,Revision
33,Linear Regression,76.44,1,6,Explanation
33,Gradient Descent,83.15,1,37,Revision
33,Backpropagation,89.82,1,12,Explanation
33,CNNs,57.46,2,30,Doubt clarification
33,CNNs,100.0,1,52,Doubt clarification
33,Backpropagation,71.85,1,12,Revision
33,CNNs,73.53,1,41,Doubt clarification
33,Gradient Descent,57.87,4,25,Doubt clarification
33,Linear Regression,63.97,1,18,Doubt clarification
34,RNNs,55.36,4,39,Revision
34,Backpropagation,87.02,1,38,Revision
34,RNNs,66.83,1,34,Doubt clarification
34,Neural Networks,60.86,1,7,Example
34,Backpropagation,77.71,1,26,Example
34,CNNs,64.97,1,8,Explanation
34,Neural Networks,98.29,1,53,Doubt clarification
34,CNNs,68.78,1,9,Doubt clarification
34,Neural Networks,64.89,1,6,Example
34,CNNs,83.98,1,8,Example
34,Gradient Descent,76.19,1,9,Example
34,Backpropagation,98.47,1,32,Explanation
34,Backpropagation,100.0,1,55,Revision
34,Gradient Descent,81.06,1,44,Revision
34,Backpropagation,93.15,1,59,Revision
34,Backpropagation,65.41,1,8,Doubt clarification
34,Linear Regression,83.85,1,60,Example
34,Neural Networks,64.95,1,41,Example
34,Gradient Descent,69.82,1,39,Explanation
34,Gradient Descent,85.1,1,51,Revision
35,Optimization Algorithms,69.91,1,45,Explanation
35,Gradient Descent,74.74,1,44,Doubt clarification
35,Optimization Algorithms,80.13,1,21,Explanation
35,Gradient Descent,56.83,1,15,Doubt clarification
35,Gradient Descent,76.64,1,13,Doubt clarification
35,CNNs,93.28,1,15,Example
35,Backpropagation,71.25,1,44,Revision
35,RNNs,61.57,1,6,Revision
35,Gradient Descent,77.22,1,42,Doubt clarification
35,Backpropagation,56.88,4,60,Explanation
36,CNNs,100.0,1,20,Revision
36,Backpropagation,60.58,1,29,Revision
36,Gradient Descent,57.84,2,19,Explanation
36,Optimization Algorithms,84.41,1,9,Doubt clarification
36,Neural Networks,73.09,1,13,Doubt clarification
37,Optimization Algorithms,86.95,1,9,Doubt clarification
37,Optimization Algorithms,55.58,4,12,Revision
37,RNNs,79.3,1,6,Explanation
37,Optimization Algorithms,70.71,1,13,Explanation
37,Backpropagation,80.91,1,30,Explanation
37,Gradient Descent,64.28,1,20,Doubt clarification
37,Backpropagation,72.25,1,25,Explanation
37,RNNs,59.92,1,13,Revision
37,CNNs,92.12,1,60,Revision
37,RNNs,65.33,1,59,Doubt clarification
38,Backpropagation,56.71,2,48,Example
38,Optimization Algorithms,75.94,1,55,Explanation
38,CNNs,80.48,1,53,Explanation
38,Neural Networks,40.02,4,42,Explanation
38,Backpropagation,78.83,1,42,Revision
38,RNNs,77.07,1,28,Explanation
38,Gradient Descent,56.81,1,16,Doubt clarification
38,RNNs,65.46,1,40,Revision
38,Neural Networks,80.47,1,26,Doubt clarification
38,Linear Regression,48.63,2,58,Revision
38,RNNs,95.27,1,46,Example
39,Linear Regression,85.96,1,6,Revision
39,CNNs,61.5,1,22,Doubt clarification
39,CNNs,59.82,4,48,Revision
39,Neural Networks,53.7,4,21,Explanation
39,CNNs,100.0,1,9,Example
39,CNNs,96.71,1,55,Example
39,Backpropagation,66.83,1,38,Explanation
39,Gradient Descent,82.45,1,49,Revision
39,RNNs,75.05,1,15,Revision
39,RNNs,80.76,1,10,Revision
39,CNNs,97.58,1,41,Explanation
39,RNNs,69.55,1,24,Example
39,Optimization Algorithms,62.48,1,11,Example
39,Neural Networks,91.97,1,27,Example
39,Backpropagation,73.97,1,59,Revision
39,Backpropagation,93.44,1,8,Doubt clarification
40,Linear Regression,54.31,3,57,Revision
40,RNNs,52.65,1,14,Explanation
40,RNNs,66.95,1,53,Revision
40,CNNs,65.32,1,41,Revision
40,RNNs,80.45,1,40,Example
40,Neural Networks,85.62,1,32,Explanation
40,RNNs,80.42,1,51,Explanation
40,Backpropagation,91.42,1,29,Example
40,Optimization Algorithms,61.42,1,59,Doubt clarification
40,Linear Regression,67.24,1,53,Revision
40,RNNs,63.59,1,15,Explanation
40,Optimization Algorithms,77.32,1,25,Explanation
40,CNNs,70.59,1,7,Explanation
40,Optimization Algorithms,100.0,1,50,Doubt clarification
41,RNNs,68.57,1,59,Doubt clarification
41,Neural Networks,88.16,1,10,Doubt clarification
41,Linear Regression,49.8,4,52,Revision
41,CNNs,60.14,1,31,Revision
41,CNNs,73.01,1,19,Explanation
41,Linear Regression,53.75,2,11,Revision
41,Gradient Descent,42.83,4,27,Explanation
41,Linear Regression,71.32,1,13,Revision
41,CNNs,62.19,1,59,Explanation
42,Backpropagation,100.0,1,55,Example
42,RNNs,48.14,3,6,Example
42,Linear Regression,75.89,1,40,Example
42,Backpropagation,95.4,1,15,Explanation
42,CNNs,64.35,1,25,Revision
42,Linear Regression,82.41,1,52,Doubt clarification
42,Neural Networks,52.61,4,46,Doubt clarification
42,Linear Regression,73.16,1,29,Example
42,Linear Regression,79.76,1,39,Explanation
43,RNNs,81.22,1,53,Revision
43,RNNs,57.02,3,37,Example
43,Neural Networks,68.35,1,18,Example
43,Backpropagation,77.25,1,30,Explanation
43,Gradient Descent,98.99,1,55,Example
43,CNNs,70.29,1,40,Explanation
43,Linear Regression,93.93,1,16,Example
43,Linear Regression,55.19,1,14,Example
43,Linear Regression,42.71,3,25,Revision
43,Neural Networks,51.56,2,25,Revision
44,Backpropagation,76.99,1,34,Example
44,Gradient Descent,79.14,1,27,Revision
44,Linear Regression,64.6,1,48,Explanation
44,Backpropagation,53.28,4,31,Example
44,Gradient Descent,56.84,3,37,Doubt clarification
44,CNNs,72.02,1,11,Doubt clarification
44,Neural Networks,75.98,1,5,Explanation
44,Gradient Descent,57.23,4,29,Revision
44,Neural Networks,91.17,1,25,Example
44,RNNs,89.72,1,49,Revision
44,Gradient Descent,80.82,1,11,Explanation
44,CNNs,74.35,1,13,Revision
44,Gradient Descent,74.99,1,42,Example
44,RNNs,94.16,1,24,Example
44,Optimization Algorithms,49.06,2,30,Example
44,Optimization Algorithms,58.9,3,22,Doubt clarification
44,Backpropagation,99.39,1,10,Doubt clarification
44,CNNs,63.77,1,37,Doubt clarification
45,Linear Regression,92.43,1,25,Explanation
45,Linear Regression,56.1,3,45,Example
45,Optimization Algorithms,59.9,3,22,Revision
45,Backpropagation,76.31,1,38,Revision
45,CNNs,75.69,1,30,Explanation
46,RNNs,56.75,1,16,Doubt clarification
46,Backpropagation,64.16,1,10,Example
46,Linear Regression,92.3,1,49,Revision
46,Optimization Algorithms,57.74,1,6,Example
46,Optimization Algorithms,50.18,4,26,Example
46,Neural Networks,47.66,4,57,Explanation
46,Gradient Descent,69.12,1,14,Doubt clarification
46,Backpropagation,54.92,4,16,Revision
46,Neural Networks,77.65,1,21,Revision
46,Optimization Algorithms,58.92,3,37,Doubt clarification
46,CNNs,64.46,1,52,Example
46,Neural Networks,62.22,1,32,Example
46,Optimization Algorithms,57.76,4,50,Revision
46,Neural Networks,100.0,1,53,Doubt clarification
46,Linear Regression,71.72,1,50,Explanation
46,Neural Networks,60.03,1,43,Example
46,Gradient Descent,71.9,1,48,Revision
46,Neural Networks,82.63,1,18,Doubt clarification
46,RNNs,72.93,1,38,Explanation
47,Optimization Algorithms,82.21,1,34,Doubt clarification
47,Optimization Algorithms,96.15,1,26,Example
47,Linear Regression,74.4,1,26,Example
47,CNNs,91.39,1,41,Example
47,Gradient Descent,77.72,1,29,Doubt clarification
47,Optimization Algorithms,70.1,1,12,Explanation
47,RNNs,85.77,1,14,Doubt clarification
47,Linear Regression,85.16,1,38,Revision
47,Backpropagation,77.64,1,56,Revision
47,Backpropagation,74.6,1,21,Doubt clarification
47,CNNs,50.36,4,17,Example
47,CNNs,100.0,1,52,Doubt clarification
47,CNNs,68.93,1,5,Revision
47,Neural Networks,73.81,1,51,Revision
47,Gradient Descent,95.19,1,29,Explanation
47,CNNs,66.51,1,28,Revision
47,Linear Regression,95.34,1,8,Revision
47,Linear Regression,68.67,1,29,Explanation
47,CNNs,51.83,1,19,Doubt clarification
48,Neural Networks,68.92,1,12,Revision
48,Backpropagation,60.26,1,30,Example
48,Linear Regression,85.44,1,60,Explanation
48,RNNs,72.99,1,14,Revision
48,Linear Regression,68.66,1,51,Explanation
48,RNNs,81.0,1,54,Example
48,CNNs,80.14,1,44,Doubt clarification
48,CNNs,65.14,1,55,Example
48,Optimization Algorithms,60.4,1,42,Revision
48,CNNs,50.88,2,54,Doubt clarification
48,Backpropagation,70.73,1,31,Example
48,RNNs,72.13,1,11,Doubt clarification
48,Neural Networks,72.01,1,14,Doubt clarification
48,Linear Regression,55.46,3,28,Doubt clarification
49,Gradient Descent,82.81,1,16,Doubt clarification
49,RNNs,64.01,1,7,Explanation
49,CNNs,44.21,4,49,Explanation
49,RNNs,89.97,1,39,Example
49,Gradient Descent,89.65,1,39,Revision
49,Backpropagation,61.12,1,37,Revision
49,RNNs,70.78,1,34,Doubt clarification
49,Optimization Algorithms,64.02,1,51,Revision
49,RNNs,74.35,1,16,Example
49,Linear Regression,74.69,1,13,Revision
49,Backpropagation,57.8,1,60,Revision
49,Neural Networks,50.9,4,32,Revision
49,Linear Regression,83.57,1,40,Revision
49,Linear Regression,47.01,3,7,Explanation
49,Linear Regression,75.5,1,7,Doubt clarification
49,Backpropagation,66.49,1,6,Revision
49,Neural Networks,73.3,1,46,Revision
49,Backpropagation,57.57,4,9,Explanation
50,Neural Networks,73.83,1,57,Example
50,Backpropagation,72.78,1,52,Example
50,CNNs,69.35,1,49,Explanation
50,Neural Networks,78.79,1,26,Doubt clarification
50,RNNs,71.54,1,32,Doubt clarification
50,Linear Regression,59.63,4,32,Explanation
50,Neural Networks,69.75,1,19,Revision
50,CNNs,73.87,1,37,Doubt clarification
50,Backpropagation,92.7,1,47,Example
50,Optimization Algorithms,86.14,1,16,Revision
50,RNNs,53.44,1,5,Doubt clarification
50,Linear Regression,82.63,1,22,Example
50,Linear Regression,65.56,1,28,Example
50,Gradient Descent,67.13,1,6,Explanation
51,Gradient Descent,87.05,1,37,Example
51,RNNs,86.88,1,28,Example
51,Gradient Descent,87.78,1,47,Revision
51,Gradient Descent,62.79,1,9,Explanation
51,CNNs,47.31,2,40,Doubt clarification
51,Linear Regression,78.9,1,41,Explanation
52,Neural Networks,57.94,1,12,Example
52,Linear Regression,55.56,4,26,Example
52,Gradient Descent,64.0,1,19,Revision
52,Gradient Descent,75.18,1,49,Explanation
52,Linear Regression,62.61,1,6,Explanation
52,Backpropagation,67.87,1,5,Explanation
52,Gradient Descent,59.55,3,16,Explanation
52,Optimization Algorithms,95.59,1,7,Doubt clarification
52,Neural Networks,40.62,4,59,Doubt clarification
52,Gradient Descent,100.0,1,20,Revision
52,Neural Networks,77.5,1,24,Explanation
52,Backpropagation,54.11,3,28,Doubt clarification
52,RNNs,92.8,1,30,Explanation
52,Gradient Descent,39.59,3,20,Explanation
52,Neural Networks,71.55,1,54,Revision
53,Neural Networks,70.3,1,27,Explanation
53,RNNs,86.55,1,51,Example
53,RNNs,76.75,1,24,Doubt clarification
53,Optimization Algorithms,43.6,2,39,Revision
53,Gradient Descent,92.6,1,38,Revision
53,Neural Networks,83.91,1,18,Revision
53,Neural Networks,68.93,1,47,Example
53,Neural Networks,53.08,4,39,Doubt clarification
53,Gradient Descent,57.86,3,10,Explanation
53,Neural Networks,69.77,1,57,Example
53,RNNs,60.9,1,46,Explanation
53,CNNs,55.18,2,50,Explanation
53,RNNs,67.13,1,24,Example
53,Backpropagation,61.29,1,24,Doubt clarification
53,CNNs,63.99,1,28,Example
53,Gradient Descent,41.81,2,27,Revision
53,CNNs,73.29,1,8,Doubt clarification
53,Optimization Algorithms,78.02,1,36,Example
54,Gradient Descent,79.13,1,36,Revision
54,Neural Networks,82.42,1,21,Explanation
54,Neural Networks,73.95,1,25,Revision
54,RNNs,62.59,1,10,Explanation
54,Gradient Descent,87.31,1,22,Explanation
54,Gradient Descent,76.32,1,53,Example
54,Neural Networks,63.68,1,44,Doubt clarification
54,RNNs,62.71,1,41,Explanation
54,RNNs,48.22,1,44,Explanation
54,Neural Networks,80.93,1,51,Doubt clarification
54,Neural Networks,100.0,1,36,Example
